"file_name","file_content_in_il","vulnerable"
"CWE_89__array-GET__func_FILTER-CLEANING-email_filter__join-concatenation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_EMAIL
if filter_var var3 FILTER_VALIDATE_EMAIL
  var2 var3
else
  var2
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-email_filter__join-interpretation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_EMAIL
if filter_var var3 FILTER_VALIDATE_EMAIL
  var2 var3
else
  var2
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-email_filter__join-sprintf_�s_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_EMAIL
if filter_var var3 FILTER_VALIDATE_EMAIL
  var2 var3
else
  var2
var4 sprintf SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-email_filter__select_from-interpretation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_EMAIL
if filter_var var3 FILTER_VALIDATE_EMAIL
  var2 var3
else
  var2
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-email_filter__select_from-sprintf_�s_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_EMAIL
if filter_var var3 FILTER_VALIDATE_EMAIL
  var2 var3
else
  var2
var4 sprintf SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-full_special_chars_filter__join-concatenation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_FULL_SPECIAL_CHARS
var2 var3
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-full_special_chars_filter__join-sprintf_�s_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_FULL_SPECIAL_CHARS
var2 var3
var4 sprintf SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-full_special_chars_filter__select_from-sprintf_�s_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_FULL_SPECIAL_CHARS
var2 var3
var4 sprintf SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-special_chars_filter__join-interpretation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_SPECIAL_CHARS
var2 var3
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-CLEANING-special_chars_filter__select_from-concatenation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var3 filter_var var2 FILTER_SANITIZE_SPECIAL_CHARS
var2 var3
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-VALIDATION-email_filter__join-concatenation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
if filter_var var3 FILTER_VALIDATE_EMAIL
  var2 var3
else
  var2
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_FILTER-VALIDATION-email_filter__join-interpretation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
if filter_var var3 FILTER_VALIDATE_EMAIL
  var2 var3
else
  var2
var4 SQL_QUERY var2
var5 mysql_connect
mysql_select_db
echo var4
var6 mysql_query var4
loop var7 mysql_fetch_array var6
  print_r var7
  echo
mysql_close var5","1"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_select-concatenation.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","1"
